lat,lng,elev,full_address,date,base_filename
40.196796,-104.820347,1470.65808105,"13540 US-85, Platteville, CO 80651, USA",Oct 2012,"data/lat_40.19679,long_-104.820_"
39.049433,-108.066343,3192.72851562,"CO-65, Mesa, CO 81643, USA",Aug 2012,"data/lat_39.04943,long_-108.066_"
39.468079,-105.239899,2209.69921875,"13652-13798 S Foxton Rd, Littleton, CO 80127, USA",Jun 2015,"data/lat_39.46807,long_-105.239_"
39.696585,-105.220636,2028.15905762,"I-70, Golden, CO 80401, USA",Aug 2012,"data/lat_39.69658,long_-105.220_"
40.629939,-104.601513,1517.33776855,"44033 Co Rd 49, Ault, CO 80610, USA",Oct 2007,"data/lat_40.62993,long_-104.601_"
39.299412,-104.916333,2078.47314453,"4360-4452 Castle Butte Dr, Castle Rock, CO 80109, USA",Sep 2007,"data/lat_39.29941,long_-104.916_"
37.458605,-105.984863,2309.72363281,"2625 Coop Rd, Alamosa, CO 81101, USA",Sep 2012,"data/lat_37.45860,long_-105.984_"
37.553201,-107.824406,2534.25732422,"44213 US-550, Durango, CO 81301, USA",Dec 2007,"data/lat_37.55320,long_-107.824_"
40.44187,-109.25729,1503.9029541,"Desert Voices Nature Trail, Jensen, UT 84035, USA",Sep 2008,"data/lat_40.44187,long_-109.257_"
39.468444,-104.887519,1969.70874023,"6932-7054 Yorkshire Dr, Castle Pines, CO 80108, USA",Sep 2007,"data/lat_39.46844,long_-104.887_"
39.561117,-102.871209,1380.17126465,"30000-30998 CO-59, Seibert, CO 80834, USA",Jun 2008,"data/lat_39.56111,long_-102.871_"
39.871466,-106.273702,2463.80566406,"CO-9, Silverthorne, CO 80498, USA",Jul 2008,"data/lat_39.87146,long_-106.273_"
39.485408,-106.088416,3330.36206055,"Unnamed Road, Breckenridge, CO 80424, USA",,"data/lat_39.48540,long_-106.088_"
39.578446,-104.765762,1798.63330078,"19299 E Jamison Pl, Centennial, CO 80016, USA",Jun 2012,"data/lat_39.57844,long_-104.765_"
39.157056,-104.087825,1832.74462891,"19751-20113 Co Rd 125, Simla, CO 80835, USA",Oct 2009,"data/lat_39.15705,long_-104.087_"
40.537568,-104.988107,1487.80334473,"4723-4809 County Rd 40, Fort Collins, CO 80525, USA",Jun 2012,"data/lat_40.53756,long_-104.988_"
38.648117,-102.78593,1295.59863281,"US-287, Kit Carson, CO 80825, USA",Oct 2012,"data/lat_38.64811,long_-102.785_"
40.973263,-106.374821,2412.35083008,"CO-125, Walden, CO 80480, USA",Sep 2007,"data/lat_40.97326,long_-106.374_"
40.343345,-103.96381,1323.12426758,"CO-144, Weldona, CO 80653, USA",Jul 2015,"data/lat_40.34334,long_-103.963_"
